ids,sentences,OCR
1.3.36.4,ṣāḍ-vargikaṁ jighrati ṣaḍ-guṇeśaḥ,sad-vargikam jighrati sad-gunesah
1.3.37.1,na cāsya kaścin nipuṇena dhātur,na casya kascin nipunena dhatur
1.3.37.2,avaiti jantuḥ kumanīṣa ūtīḥ,avaiti jantuh kumanisa utth
1.3.37.3,nāmāni rūpāṇi mano-vacobhiḥ,namani rupani mano-vacobhih
1.3.37.4,santanvato naṭa-caryām ivājñaḥ,santanvato nata-caryam ivajnah
1.3.38.1,sa veda dhātuḥ padavīṁ parasya,sa veda dhatuh padavim parasya
1.3.38.2,duranta-vīryasya rathāṅga-pāṇeḥ,duranta-viryasya rathanga-paneh
1.3.38.3,yo ’māyayā santatayānuvṛttyā,yo 'mayaya santatayanuyrttya
1.3.38.4,bhajeta tat-pāda-saroja-gandham,bhajeta tat-pada-saroja-gandham
1.3.39.1,atheha dhanyā bhagavanta itthaṁ,atheha dhanya bhagavanta ittham
1.3.39.2,yad vāsudeve ’khila-loka-nāthe,yad vasudeve 'khila-loka-nathe
1.3.39.3,kurvanti sarvātmakam ātma-bhāvaṁ,kurvanti sarvatmakam atma-bhavam
1.3.39.4,na yatra bhūyaḥ parivarta ugraḥ,na yatra bhayah parivarta ugrah
1.3.40.1,idaṁ bhāgavataṁ nāma,idam bhagavatam nama
1.3.40.2,purāṇaṁ brahma-sammitam,puranam brahma-sammitam
1.3.40.3,uttama-śloka-caritaṁ,uttama-sloka-caritam
1.3.40.4,cakāra bhagavān ṛṣiḥ,cakara bhagavan rsih
1.3.40.5,niḥśreyasāya lokasya,nihsreyasaya lokasya
1.3.40.6,dhanyaṁ svasty-ayanaṁ mahat,dhanyam svasty-ayanam mahat
1.3.41.1,tad idaṁ grāhayām āsa,tad idam grahayam asa
1.3.41.2,sutam ātmavatāṁ varam,sutam atmavatam varam
1.3.41.3,sarva-vedetihāsānāṁ,sarva-vedetihasanam
1.3.41.4,sāraṁ sāraṁ samuddhṛtam,saram saram samuddhrtam
1.3.42.1,sa tu saṁśrāvayām āsa,sa tu sam§sravayam asa
1.3.42.2,mahārājaṁ parīkṣitam,maharajam pariksitam
1.3.42.3,prāyopaviṣṭaṁ gaṅgāyāṁ,prayopavistam garngayam
1.3.42.4,parītaṁ paramarṣibhiḥ,paritam paramarsibhih
1.3.43.1,kṛṣṇe sva-dhāmopagate,krsne sva-dhamopagate
1.3.43.2,dharma-jñānādibhiḥ saha,dharma-jnanadibhih saha
1.3.43.3,kalau naṣṭa-dṛśām eṣa,kalau nasta-dréam esa
1.3.43.4,purāṇārko ’dhunoditaḥ,puranarko 'dhunoditah
1.3.44.1,tatra kīrtayato viprā,tatra kirtayato vipra
1.3.44.2,viprarṣer bhūri-tejasaḥ,viprarser bhuri-tejasah
1.3.44.3,ahaṁ cādhyagamaṁ tatra,aham cadhyagamam tatra
1.3.44.4,niviṣṭas tad-anugrahāt,nivistas tad-anugrahat
1.3.44.5,so ’haṁ vaḥ śrāvayiṣyāmi,so 'ham vah sravayisyami
1.3.44.6,yathādhītaṁ yathā-mati,yathadhitam yatha-mati
1.4.1.1,vyāsa uvāca,vyasa uvaca
1.4.2.1,śaunaka uvāca,saunaka uvaca
1.4.3.1,kasmin yuge pravṛtteyaṁ,kasmin yuge pravrtteyam
1.4.3.2,sthāne vā kena hetunā,sthane va kena hetuna
1.4.3.3,kutaḥ sañcoditaḥ kṛṣṇaḥ,kutah sancoditah krsnah
1.4.3.4,kṛtavān saṁhitāṁ muniḥ,krtavan samhitam munih
1.4.4.1,tasya putro mahā-yogī,tasya putro maha-yogl
1.4.4.2,sama-dṛṅ nirvikalpakaḥ,sama-drn nirvikalpakah
1.4.4.3,ekānta-matir unnidro,ekanta-matir unnidro
1.4.4.4,gūḍho mūḍha iveyate,gudho mudha iveyate
1.4.5.1,dṛṣṭvānuyāntam ṛṣim ātmajam apy anagnaṁ,drstvanuyantam rsim atmajam apy anagnam
1.4.5.2,devyo hriyā paridadhur na sutasya citram,devyo hriya paridadhur na sutasya citram
1.4.5.3,tad vīkṣya pṛcchati munau jagadus tavāsti,tad viksya prechati munau jagadus tavasti
1.4.5.4,strī-pum-bhidā na tu sutasya vivikta-dṛṣṭeḥ,stri-pum-bhida na tu sutasya vivikta-drsteh
1.4.6.1,katham ālakṣitaḥ pauraiḥ,katham alaksitah pauraih
1.4.6.2,samprāptaḥ kuru-jāṅgalān,sampraptah kuru-jangalan
1.4.6.3,unmatta-mūka-jaḍavad,unmatta-muka-jadavad
1.4.6.4,vicaran gaja-sāhvaye,vicaran gaja-sahvaye
1.4.7.1,kathaṁ vā pāṇḍaveyasya,katham va pandaveyasya
1.4.7.2,rājarṣer muninā saha,rajarser munina saha
1.4.7.3,saṁvādaḥ samabhūt tāta,samvadah samabhut tata
1.4.7.4,yatraiṣā sātvatī śrutiḥ,yatraisa satvati srutih
1.4.8.1,sa go-dohana-mātraṁ hi,sa go-dohana-matram hi
1.4.8.2,gṛheṣu gṛha-medhinām,grhesu grha-medhinam
1.4.8.3,avekṣate mahā-bhāgas,aveksate maha-bhagas
1.4.8.4,tīrthī-kurvaṁs tad āśramam,tirthi-kurvams tad asramam
1.4.9.1,abhimanyu-sutaṁ sūta,abhimanyu-sutam suta
1.4.9.2,prāhur bhāgavatottamam,prahur bhagavatottamam
1.4.9.3,tasya janma mahāścaryaṁ,tasya jJanma mahascaryam
1.4.9.4,karmāṇi ca gṛṇīhi naḥ,karmani ca grnthi nah
1.4.10.1,sa samrāṭ kasya vā hetoḥ,sa samrat kasya va hetoh
1.4.10.2,pāṇḍūnāṁ māna-vardhanaḥ,pandUunam mana-vardhanah
1.4.10.3,prāyopaviṣṭo gaṅgāyām,prayopavisto garngayam
1.4.10.4,anādṛtyādhirāṭ-śriyam,anadrtyadhirat-sriyam
1.4.11.1,namanti yat-pāda-niketam ātmanaḥ,namanti yat-pada-niketam atmanah
1.4.11.2,śivāya hānīya dhanāni śatravaḥ,Ssivaya hantya dhanani satravah
1.4.11.3,kathaṁ sa vīraḥ śriyam aṅga dustyajāṁ,katham sa virah sriyam anga dustyajam
1.4.11.4,yuvaiṣatotsraṣṭum aho sahāsubhiḥ,yuvaisatotsrastum aho sahasubhih
1.4.12.1,śivāya lokasya bhavāya bhūtaye,Ssivaya lokasya bhavaya bhutaye
1.4.12.2,ya uttama-śloka-parāyaṇā janāḥ,ya uttama-sloka-parayana janah
1.4.12.3,jīvanti nātmārtham asau parāśrayaṁ,jivanti natmartham asau parasrayam
1.4.12.4,mumoca nirvidya kutaḥ kalevaram,mumoca nirvidya kutah kalevaram
1.4.13.1,tat sarvaṁ naḥ samācakṣva,tat sarvam nah samacaksva
1.4.13.2,pṛṣṭo yad iha kiñcana,prsto yad iha kincana
1.4.13.3,manye tvāṁ viṣaye vācāṁ,manye tvam visaye vacam
1.4.13.4,snātam anyatra chāndasāt,snatam anyatra chandasat
1.4.14.1,sūta uvāca,suta uvaca
1.4.15.1,sa kadācit sarasvatyā,sa kadacit sarasvatya
1.4.15.2,upaspṛśya jalaṁ śuciḥ,upaspréya jalam §sucih
1.4.15.3,vivikta eka āsīna,vivikta eka asitna
1.4.15.4,udite ravi-maṇḍale,udite ravi-mandale
1.4.16.1,parāvara-jñaḥ sa ṛṣiḥ,paravara-jnah sa rsih
1.4.16.2,kālenāvyakta-raṁhasā,kalenavyakta-ramhasa
1.4.16.3,yuga-dharma-vyatikaraṁ,yuga-dharma-vyatikaram
1.4.16.4,prāptaṁ bhuvi yuge yuge,praptam bhuvi yuge yuge
1.4.17-18.1,bhautikānāṁ ca bhāvānāṁ,bhautikanam ca bhavanam
1.4.17-18.2,śakti-hrāsaṁ ca tat-kṛtam,Ssakti-hrasam ca tat-krtam
1.4.17-18.3,aśraddadhānān niḥsattvān,asraddadhanan nihsattvan
1.4.17-18.4,durmedhān hrasitāyuṣaḥ,durmedhan hrasitayusah
1.4.19.1,cātur-hotraṁ karma śuddhaṁ,catur-hotram karma suddham
1.4.19.2,prajānāṁ vīkṣya vaidikam,prajanam viksya vaidikam
1.4.19.3,vyadadhād yajña-santatyai,vyadadhad yajna-santatyai
1.4.19.4,vedam ekaṁ catur-vidham,vedam ekam catur-vidham
1.4.20.1,ṛg-yajuḥ-sāmātharvākhyā,rg-yajuh-samatharvakhya
1.4.20.2,vedāś catvāra uddhṛtāḥ,vedas catvara uddhrtah
1.4.20.3,itihāsa-purāṇaṁ ca,itihasa-puranam ca
1.4.20.4,pañcamo veda ucyate,pancamo veda ucyate
1.4.21.1,tatrarg-veda-dharaḥ pailaḥ,tatrarg-veda-dharah pailah
1.4.21.2,sāmago jaiminiḥ kaviḥ,samago jJaiminih kavih
1.4.21.3,vaiśampāyana evaiko,vaisampayana evaiko
1.4.21.4,niṣṇāto yajuṣām uta,nisnato yajusam uta
1.4.22.1,atharvāṅgirasām āsīt,atharvangirasam asit
1.4.22.2,sumantur dāruṇo muniḥ,sumantur daruno munih
1.4.22.3,itihāsa-purāṇānāṁ,itihasa-purananam
1.4.22.4,pitā me romaharṣaṇaḥ,pita me romaharsanah
1.4.23.1,ta eta ṛṣayo vedaṁ,ta eta rsayo vedam
1.4.23.2,svaṁ svaṁ vyasyann anekadhā,svam svam vyasyann anekadha
1.4.23.3,śiṣyaiḥ praśiṣyais tac-chiṣyair,Ssisyaih prasisyais tac-chisyair
1.4.23.4,vedās te śākhino ’bhavan,vedas te sakhino 'bhavan
1.4.24.1,ta eva vedā durmedhair,ta eva veda durmedhair
1.4.24.2,dhāryante puruṣair yathā,dharyante purusair yatha
1.4.24.3,evaṁ cakāra bhagavān,evam cakara bhagavan
1.4.24.4,vyāsaḥ kṛpaṇa-vatsalaḥ,vyasah krpana-vatsalah
1.4.25.1,strī-śūdra-dvijabandhūnāṁ,strt-sudra-dvijabandhanam
1.4.25.2,trayī na śruti-gocarā,trayit na sruti-gocara
1.4.25.3,karma-śreyasi mūḍhānāṁ,karma-Sreyasi mudhanam
1.4.25.4,śreya evaṁ bhaved iha,Sreya evam bhaved iha
1.4.25.5,iti bhāratam ākhyānaṁ,iti bharatam akhyanam
1.4.25.6,kṛpayā muninā kṛtam,krpaya munina krtam
1.4.26.1,evaṁ pravṛttasya sadā,evam pravrttasya sada
1.4.26.2,bhūtānāṁ śreyasi dvijāḥ,bhutanam sreyasi dvijah
1.4.26.3,sarvātmakenāpi yadā,sarvatmakenapi yada
1.4.26.4,nātuṣyad dhṛdayaṁ tataḥ,natusyad dhrdayam tatah
1.4.27.1,nātiprasīdad-dhṛdayaḥ,natiprasidad-dhrdayah
1.4.27.2,sarasvatyās taṭe śucau,sarasvatyas tate sucau
1.4.27.3,vitarkayan vivikta-stha,vitarkayan vivikta-stha
1.4.27.4,idaṁ covāca dharma-vit,idam covaca dharma-vit
1.4.28-29.1,dhṛta-vratena hi mayā,dhrta-vratena hi maya
1.4.28-29.2,chandāṁsi guravo ’gnayaḥ,chandamsi guravo 'gnayah
1.4.28-29.3,mānitā nirvyalīkena,manita nirvyalikena
1.4.28-29.4,gṛhītaṁ cānuśāsanam,grhitam canusasanam
1.4.30.1,tathāpi bata me daihyo,tathapi bata me daihyo
1.4.30.2,hy ātmā caivātmanā vibhuḥ,hy atma caivatmana vibhuh
1.4.30.3,asampanna ivābhāti,asampanna ivabhati
1.4.30.4,brahma-varcasya sattamaḥ,brahma-varcasya sattamah
1.4.31.1,kiṁ vā bhāgavatā dharmā,kim va bhagavata dharma
1.4.31.2,na prāyeṇa nirūpitāḥ,na prayena nirupitah
1.4.31.3,priyāḥ paramahaṁsānāṁ,priyah paramahamsanam
1.4.31.4,ta eva hy acyuta-priyāḥ,ta eva hy acyuta-priyah
1.4.32.1,tasyaivaṁ khilam ātmānaṁ,tasyaivam khilam atmanam
1.4.32.2,manyamānasya khidyataḥ,manyamanasya khidyatah
1.4.32.3,kṛṣṇasya nārado ’bhyāgād,krsnasya narado 'bhyagad
1.4.32.4,āśramaṁ prāg udāhṛtam,asramam prag udahrtam
1.4.33.1,tam abhijñāya sahasā,tam abhijnaya sahasa
1.4.33.2,pratyutthāyāgataṁ muniḥ,pratyutthayagatam munih
1.4.33.3,pūjayām āsa vidhivan,pujayam asa vidhivan
1.4.33.4,nāradaṁ sura-pūjitam,naradam sura-pujitam
1.5.1.1,sūta uvāca,suta uvaca
1.5.2.1,nārada uvāca,narada uvaca
1.5.3.1,jijñāsitaṁ susampannam,jinasitam susampannam
1.5.3.2,api te mahad-adbhutam,api te mahad-adbhutam
1.5.3.3,kṛtavān bhārataṁ yas tvaṁ,krtavan bharatam yas tvam
1.5.3.4,sarvārtha-paribṛṁhitam,sarvartha-paribrmhitam
1.5.4.1,jijñāsitam adhītaṁ ca,jijnasitam adhitam ca
1.5.4.2,brahma yat tat sanātanam,brahma yat tat sanatanam
1.5.4.3,tathāpi śocasy ātmānam,tathapi socasy atmanam
1.5.4.4,akṛtārtha iva prabho,akrtartha iva prabho
1.5.5.1,vyāsa uvāca,vyasa uvaca
1.5.6.1,sa vai bhavān veda samasta-guhyam,sa vai bhavan veda samasta-guhyam
1.5.6.2,upāsito yat puruṣaḥ purāṇaḥ,upasito yat purusah puranah
1.5.6.3,parāvareśo manasaiva viśvaṁ,paravareso manasaiva visvam
1.5.6.4,sṛjaty avaty atti guṇair asaṅgaḥ,srjaty avaty atti gunair asangah
1.5.7.1,tvaṁ paryaṭann arka iva tri-lokīm,tvam paryatann arka iva tri-lokim
1.5.7.2,antaś-caro vāyur ivātma-sākṣī,antas-caro vayur ivatma-saksli
1.5.7.3,parāvare brahmaṇi dharmato vrataiḥ,paravare brahmani dharmato vrataih
1.5.7.4,snātasya me nyūnam alaṁ vicakṣva,snatasya me nyunam alam vicaksva
1.5.8.1,śrī-nārada uvāca,Ssri-narada uvaca
1.5.9.1,yathā dharmādayaś cārthā,yatha dharmadayas cartha
1.5.9.2,muni-varyānukīrtitāḥ,muni-varyanukirtitah
1.5.9.3,na tathā vāsudevasya,na tatha vasudevasya
1.5.9.4,mahimā hy anuvarṇitaḥ,mahima hy anuvarnitah
1.5.10.1,na yad vacaś citra-padaṁ harer yaśo,na yad vacas citra-padam harer yaso
1.5.10.2,jagat-pavitraṁ pragṛṇīta karhicit,jagat-pavitram pragrnita karhicit
1.5.10.3,tad vāyasaṁ tīrtham uśanti mānasā,tad vayasam tirtham usanti manasa
1.5.10.4,na yatra haṁsā niramanty uśik-kṣayāḥ,na yatra hamsa niramanty usik-ksayah
1.5.11.1,tad-vāg-visargo janatāgha-viplavo,tad-vag-visargo janatagha-viplavo
1.5.11.2,yasmin prati-ślokam abaddhavaty api,yasmin prati-slokam abaddhavaty api
1.5.11.3,nāmāny anantasya yaśo ’ṅkitāni yat,namany anantasya yaso yat
1.5.11.4,śṛṇvanti gāyanti gṛṇanti sādhavaḥ,sravanti gayanti grnanti sadhavah
1.5.12.1,naiṣkarmyam apy acyuta-bhāva-varjitaṁ,naiskarmyam apy acyuta-bhava-varjitam
1.5.12.2,na śobhate jñānam alaṁ nirañjanam,na sobhate jnanam alam niranjanam
1.5.12.3,kutaḥ punaḥ śaśvad abhadram īśvare,kutah punah sasvad abhadram Isvare
1.5.12.4,na cārpitaṁ karma yad apy akāraṇam,na carpitam karma yad apy akaranam
1.5.13.1,atho mahā-bhāga bhavān amogha-dṛk,atho maha-bhaga bhavan amogha-drk
1.5.13.2,śuci-śravāḥ satya-rato dhṛta-vrataḥ,Ssuci-sravah satya-rato dhrta-vratah
1.5.13.3,urukramasyākhila-bandha-muktaye,urukramasyakhila-bandha-muktaye
1.5.13.4,samādhinānusmara tad-viceṣṭitam,samadhinanusmara tad-vicestitam
1.5.14.1,tato ’nyathā kiñcana yad vivakṣataḥ,tato 'nyatha kincana yad vivaksatah
1.5.14.2,pṛthag dṛśas tat-kṛta-rūpa-nāmabhiḥ,prthag dréas tat-krta-rupa-namabhih
1.5.14.3,na karhicit kvāpi ca duḥsthitā matir,na karhicit kvapi ca duhsthita matir
1.5.14.4,labheta vātāhata-naur ivāspadam,labheta vatahata-naur ivaspadam
1.5.15.1,jugupsitaṁ dharma-kṛte ’nuśāsataḥ,jugupsitam dharma-krte 'nusasatah
1.5.15.2,svabhāva-raktasya mahān vyatikramaḥ,svabhava-raktasya mahan vyatikramah
1.5.15.3,yad-vākyato dharma itītaraḥ sthito,yad-vakyato dharma ititarah sthito
1.5.15.4,na manyate tasya nivāraṇaṁ janaḥ,na manyate tasya nivaranam janah
1.5.16.1,vicakṣaṇo ’syārhati vedituṁ vibhor,vicaksano 'syarhati veditum vibhor
1.5.16.2,ananta-pārasya nivṛttitaḥ sukham,ananta-parasya nivrttitah sukham
1.5.16.3,pravartamānasya guṇair anātmanas,pravartamanasya gunair anatmanas
1.5.16.4,tato bhavān darśaya ceṣṭitaṁ vibhoḥ,tato bhavan darsaya cestitam vibhoh
1.5.17.1,tyaktvā sva-dharmaṁ caraṇāmbujaṁ harer,tyaktva sva-dharmam caranambujam harer
1.5.17.2,bhajann apakvo ’tha patet tato yadi,bhajann apakvo 'tha patet tato yadi
1.5.17.3,yatra kva vābhadram abhūd amuṣya kiṁ,yatra kva vabhadram abhad amusya kim
1.5.17.4,ko vārtha āpto ’bhajatāṁ sva-dharmataḥ,ko vartha apto 'bhajatam sva-dharmatah
1.5.18.1,tasyaiva hetoḥ prayateta kovido,tasyaiva hetoh prayateta kovido
1.5.18.2,na labhyate yad bhramatām upary adhaḥ,na labhyate yad bhramatam upary adhah
1.5.18.3,tal labhyate duḥkhavad anyataḥ sukhaṁ,tal labhyate duhkhavad anyatah sukham
1.5.18.4,kālena sarvatra gabhīra-raṁhasā,kalena sarvatra gabhira-ramhasa
1.5.19.1,na vai jano jātu kathañcanāvrajen,na vai jano jatu kathancanavrajen
1.5.19.2,mukunda-sevy anyavad aṅga saṁsṛtim,mukunda-sevy anyavad anga samsrtim
1.5.19.3,smaran mukundāṅghry-upagūhanaṁ punar,smaran mukundanighry-upaguhanam punar
1.5.19.4,vihātum icchen na rasa-graho janaḥ,vihatum icchen na rasa-graho janah
1.5.20.1,idaṁ hi viśvaṁ bhagavān ivetaro,idam hi visvam bhagavan ivetaro
1.5.20.2,yato jagat-sthāna-nirodha-sambhavāḥ,yato jagat-sthana-nirodha-sambhavah
1.5.20.3,tad dhi svayaṁ veda bhavāṁs tathāpi te,tad dhi svayam veda bhavams tathapi te
1.5.20.4,prādeśa-mātraṁ bhavataḥ pradarśitam,pradesa-matram bhavatah pradarsitam
1.5.21.1,tvam ātmanātmānam avehy amogha-dṛk,tvam atmanatmanam avehy amogha-drk
1.5.21.2,parasya puṁsaḥ paramātmanaḥ kalām,parasya pumsah paramatmanah kalam
1.5.21.3,ajaṁ prajātaṁ jagataḥ śivāya tan,ajam prajatam jagatah sivaya tan
1.5.21.4,mahānubhāvābhyudayo ’dhigaṇyatām,mahanubhavabhyudayo 'dhiganyatam
1.5.22.1,idaṁ hi puṁsas tapasaḥ śrutasya vā,idam hi pumsas tapasah srutasya va
1.5.22.2,sviṣṭasya sūktasya ca buddhi-dattayoḥ,svistasya suktasya ca buddhi-dattayoh
1.5.22.3,avicyuto ’rthaḥ kavibhir nirūpito,avicyuto 'rthah kavibhir nirupito
1.5.22.4,yad-uttamaśloka-guṇānuvarṇanam,yad-uttamasloka-gunanuvarnanam
1.5.23.1,ahaṁ purātīta-bhave ’bhavaṁ mune,aham puratita-bhave 'bhavam mune
1.5.23.2,dāsyās tu kasyāścana veda-vādinām,dasyas tu kasyascana veda-vadinam
1.5.23.3,nirūpito bālaka eva yogināṁ,nirupito balaka eva yoginam
1.5.23.4,śuśrūṣaṇe prāvṛṣi nirvivikṣatām,Ssusrusane pravrsi nirviviksatam
1.5.24.1,te mayy apetākhila-cāpale ’rbhake,te mayy apetakhila-capale 'rbhake
1.5.24.2,dānte ’dhṛta-krīḍanake ’nuvartini,dante 'dhrta-kridanake 'nuvartini
1.5.24.3,cakruḥ kṛpāṁ yadyapi tulya-darśanāḥ,cakruh krpam yadyapi tulya-darsanah
1.5.24.4,śuśrūṣamāṇe munayo ’lpa-bhāṣiṇi,Ssusrusamane munayo 'Ipa-bhasini
1.5.25.1,ucchiṣṭa-lepān anumodito dvijaiḥ,ucchista-lepan anumodito dvijaih
1.5.25.2,sakṛt sma bhuñje tad-apāsta-kilbiṣaḥ,sakrt sma bhunje tad-apasta-kilbisah
1.5.25.3,evaṁ pravṛttasya viśuddha-cetasas,evam pravrttasya visuddha-cetasas
1.5.25.4,tad-dharma evātma-ruciḥ prajāyate,tad-dharma evatma-rucih prajayate
1.5.26.1,tatrānvahaṁ kṛṣṇa-kathāḥ pragāyatām,tatranvaham krsna-kathah pragayatam
1.5.26.2,anugraheṇāśṛṇavaṁ manoharāḥ,anugrahenasrnavam manoharah
1.5.26.3,tāḥ śraddhayā me ’nupadaṁ viśṛṇvataḥ,tah sraddhaya me 'nupadam visrnvatah
1.5.26.4,priyaśravasy aṅga mamābhavad ruciḥ,privasravasy arnga mamabhavad rucih
1.5.27.1,tasmiṁs tadā labdha-rucer mahā-mate,tasmims tada labdha-rucer maha-mate
1.5.27.2,priyaśravasy askhalitā matir mama,privasravasy askhalita matir mama
1.5.27.3,yayāham etat sad-asat sva-māyayā,yayaham etat sad-asat sva-mayaya
1.5.27.4,paśye mayi brahmaṇi kalpitaṁ pare,pasye mayi brahmani kalpitam pare
1.5.28.1,itthaṁ śarat-prāvṛṣikāv ṛtū harer,ittham sarat-pravrsikav rta harer
1.5.28.2,viśṛṇvato me ’nusavaṁ yaśo ’malam,visrnvato me 'nusavam yaso 'malam
1.5.28.3,saṅkīrtyamānaṁ munibhir mahātmabhir,sankirtyamanam munibhir mahatmabhir
1.5.28.4,bhaktiḥ pravṛttātma-rajas-tamopahā,bhaktih pravrttatma-rajas-tamopaha
1.5.29.1,tasyaivaṁ me ’nuraktasya,tasyaivam me 'nuraktasya
1.5.29.2,praśritasya hatainasaḥ,prasritasya hatainasah
1.5.29.3,śraddadhānasya bālasya,Sraddadhanasya balasya
1.5.29.4,dāntasyānucarasya ca,dantasyanucarasya ca
1.5.30.1,jñānaṁ guhyatamaṁ yat tat,inanam guhyatamam yat tat
1.5.30.2,sākṣād bhagavatoditam,saksad bhagavatoditam
1.5.30.3,anvavocan gamiṣyantaḥ,anvavocan gamisyantah
1.5.30.4,kṛpayā dīna-vatsalāḥ,krpaya dina-vatsalah
1.5.31.1,yenaivāhaṁ bhagavato,yenaivaham bhagavato
1.5.31.2,vāsudevasya vedhasaḥ,vasudevasya vedhasah
1.5.31.3,māyānubhāvam avidaṁ,mayanubhavam avidam
1.5.31.4,yena gacchanti tat-padam,yena gacchanti tat-padam
1.5.32.1,etat saṁsūcitaṁ brahmaṁs,etat samsucitam brahmams
1.5.32.2,tāpa-traya-cikitsitam,tapa-traya-cikitsitam
1.5.32.3,yad īśvare bhagavati,yad Isvare bhagavati
1.5.32.4,karma brahmaṇi bhāvitam,karma brahmani bhavitam
1.5.33.1,āmayo yaś ca bhūtānāṁ,amayo yas ca bhutanam
1.5.33.2,jāyate yena suvrata,jayate yena suvrata
1.5.33.3,tad eva hy āmayaṁ dravyaṁ,tad eva hy amayam dravyam
1.5.33.4,na punāti cikitsitam,na punati cikitsitam
1.5.34.1,evaṁ nṛṇāṁ kriyā-yogāḥ,evam nrnam kriya-yogah
1.5.34.2,sarve saṁsṛti-hetavaḥ,sarve samsrti-hetavah
1.5.34.3,ta evātma-vināśāya,ta evatma-vinasaya
1.5.34.4,kalpante kalpitāḥ pare,kalpante kalpitah pare
1.5.35.1,yad atra kriyate karma,yad atra kriyate karma
1.5.35.2,bhagavat-paritoṣaṇam,bhagavat-paritosanam
1.5.35.3,jñānaṁ yat tad adhīnaṁ hi,nanam yat tad adhinam hi
1.5.35.4,bhakti-yoga-samanvitam,bhakti-yoga-samanvitam
1.5.36.1,kurvāṇā yatra karmāṇi,kurvana yatra karmani
1.5.36.2,bhagavac-chikṣayāsakṛt,bhagavac-chiksayasakrt
1.5.36.3,gṛṇanti guṇa-nāmāni,grnanti guna-namani
1.5.36.4,kṛṣṇasyānusmaranti ca,krsnasyanusmaranti ca
1.5.37.1,oṁ namo bhagavate tubhyaṁ,om namo bhagavate tubhyam
1.5.37.2,vāsudevāya dhīmahi,vasudevaya dhimahi
1.5.37.3,pradyumnāyāniruddhāya,pradyumnayaniruddhaya
1.5.37.4,namaḥ saṅkarṣaṇāya ca,namah sankarsanaya ca
1.5.38.1,iti mūrty-abhidhānena,it muarty-abhidhanena
1.5.38.2,mantra-mūrtim amūrtikam,mantra-murtim amurtikam
1.5.38.3,yajate yajña-puruṣaṁ,yajate yajna-purusam
1.5.38.4,sa samyag-darśanaḥ pumān,sa samyag-darsanah puman
1.5.39.1,imaṁ sva-nigamaṁ brahmann,imam sva-nigamam brahmann
1.5.39.2,avetya mad-anuṣṭhitam,avetya mad-anusthitam
1.5.39.3,adān me jñānam aiśvaryaṁ,adan me jnanam aisvaryam
1.5.39.4,svasmin bhāvaṁ ca keśavaḥ,svasmin bhavam ca kesavah
1.5.40.1,tvam apy adabhra-śruta viśrutaṁ vibhoḥ,tvam apy adabhra-sruta visrutam vibhoh
1.5.40.2,samāpyate yena vidāṁ bubhutsitam,samapyate yena vidam bubhutsitam
1.5.40.3,prākhyāhi duḥkhair muhur arditātmanāṁ,prakhyahi duhkhair muhur arditatmanam
1.5.40.4,saṅkleśa-nirvāṇam uśanti nānyathā,sanklesa-nirvanam usanti nanyatha
1.6.1.1,sūta uvāca,suta uvaca
1.6.2.1,vyāsa uvāca,vyasa uvaca
1.6.3.1,svāyambhuva kayā vṛttyā,svayambhuva kaya vrittya
1.6.3.2,vartitaṁ te paraṁ vayaḥ,vartitam te param vayah
1.6.3.3,kathaṁ cedam udasrākṣīḥ,katham cedam udasraksth
1.6.3.4,kāle prāpte kalevaram,kale prapte kalevaram
1.6.4.1,prāk-kalpa-viṣayām etāṁ,prak-kalpa-visayam etam
1.6.4.2,smṛtiṁ te muni-sattama,smrtim te muni-sattama
1.6.4.3,na hy eṣa vyavadhāt kāla,na hy esa vyavadhat kala
1.6.4.4,eṣa sarva-nirākṛtiḥ,esa sarva-nirakrtih
1.6.5.1,nārada uvāca,narada uvaca
1.6.6.1,ekātmajā me jananī,ekatmaja me Janani
1.6.6.2,yoṣin mūḍhā ca kiṅkarī,yosin mudha ca kinkart
1.6.6.3,mayy ātmaje ’nanya-gatau,mayy atmaje 'nanya-gatau
1.6.6.4,cakre snehānubandhanam,cakre snehanubandhanam
1.6.7.1,sāsvatantrā na kalpāsīd,sasvatantra na kalpasid
1.6.7.2,yoga-kṣemaṁ mamecchatī,yoga-ksemam mamecchati
1.6.7.3,īśasya hi vaśe loko,isasya hi vase loko
1.6.7.4,yoṣā dārumayī yathā,yosa darumayt yatha
1.6.8.1,ahaṁ ca tad-brahma-kule,aham ca tad-brahma-kule
1.6.8.2,ūṣivāṁs tad-upekṣayā,usivams tad-upeksaya
1.6.8.3,dig-deśa-kālāvyutpanno,dig-desa-kalavyutpanno
1.6.8.4,bālakaḥ pañca-hāyanaḥ,balakah panca-hayanah
1.6.9.1,ekadā nirgatāṁ gehād,ekada nirgatam gehad
1.6.9.2,duhantīṁ niśi gāṁ pathi,duhantim nisi gam pathi
1.6.9.3,sarpo ’daśat padā spṛṣṭaḥ,sarpo 'dasat pada sprstah
1.6.9.4,kṛpaṇāṁ kāla-coditaḥ,krpanam kala-coditah
1.6.10.1,tadā tad aham īśasya,tada tad aham ISsasya
1.6.10.2,bhaktānāṁ śam abhīpsataḥ,bhaktanam sam abhipsatah
1.6.10.3,anugrahaṁ manyamānaḥ,anugraham manyamanah
1.6.10.4,prātiṣṭhaṁ diśam uttarām,pratistham disam uttaram
